Name,Description
"Rumi Shatranj","Rumi Shatranj is a variation of Shatranj played in India. "Rumi" is a term referring to the belief that this game originated in Western Asia. The Counselor has a special opening move, and the kings are placed facing each other."
"Main Chator","Main Chator is a capturing game played in Malaysia and Indonesia that is very similar to other games derived from Chaturanga. It involves special rules for castling and pawn promotion and a special move when the Rajah is first checked. "
Sittuyin,"Sittuyin is a game derived from Indian Chaturanga. It differs from similar games in that it begins with placement phase, in which pieces are placed on the board as the players see fit. In the nineteenth and early twentieth century, it was most frequently played by the elderly."
"Mak Ruk","Mak Ruk is a capturing game played in Thailand. It is similar to other games derived from Chaturanga, with different moves for some pieces and the pawns starting on the third rank of the board, rather than the second."
"Ouk Chatrang","Ouk Chatrang is a game of captures played in Cambodia. It is related, and very similar to, Makruk as played in Thailand. It is popular among Cambodian men. Chess-playing scenes from the Angkor period show figures playing a similar game, but it is unknown how old the rules as they are played today are."
San-Kwo-K'i,"San-Kwo-K'i is a three-player version of Xiangqi. It is conceptualized as reflecting the War of the Three Kingdoms from Chinese history (221-264 CE). Each player plays as one of the three kingdoms: Wei (blue), Shu (red), and Wu (green)."
"Tobi Shogi","Tobi Shogi is a game with leaping captures that was played in Japan during the early twentieth century. It uses the Shogi board and pieces, but adapts them to a different game entirely."
Shatranj,"Shatranj is a game derived from Chaturanga which probably began in Iran and spread throughout the Islamic world and into Europe. It is the game from which Chess directly evolved into its modern form, though Shatranj was known as "Chess" in Europe when it was adopted there."
"Shatranj al-Mustatila","Shatranj al-Mustatila is a version of Shatranj played on a 4x16 board. A die is used to determine which piece a player moves. The Persian Shatranj expert al-Adli states that this game was often made on textiles, with the game Nard on the other side."
"Shatranj at-Tamma","Shatranj at-Tamma is a game described in several manuscripts from the Medieval Islamic world. It is played similarly to Shatranj, with a 10x10 board and an extra piece, the Dabbaba. "
"Shatranj al-Falakiya","Shatranj al-Falakiya ("Celestial Chess") is a game that was played in the middle age of southwest Asia. It was played on a round board, in which the pieces represented the planets, sun, and moon traveling through the zodiac signs."
"Shatranj al-Jawarhiya","Shatranj al-Jawarhiya is an incompleterly explained game from Al-Masudi's Murūj aḏ-Ḏahab wa-Maʿādin al-Jawhar (Meadows of Gold and Mines of Gems), where it is described alongside other games similar to Shatranj."
"Shatranj al-Husun","Shatranj al-Husun is a game known from medieval manuscripts from the work of al-Amuli, a Persian Shatranj expert. It is played on an enlarged board with extra spaces where the Shah can move to force a draw."
"Grande Acedrex","Murray 1913:348"
"Acedrex de los Cuatros Tiempos","Acedrex de los Cuatros Tiempos is a four-player game dervied from Chess. It was described in Alofonso X of Castile's Libro de los Juegos. The four players are conceptualized as playing the four seasons, eating away at the other seasons."
"Los Escaques","Los Escaques is a game based on the zodiac and movements of the planets, sun and moon. Points are awarded for placing the piece in certain alignments with the other pieces. "
"Shatranj Diwana Shah","Shatranj Diwana Shah is a game from nineteenth century India that was described by Lala Raja Babu Sahib, Superintendent of the Palace Games Department of Patiala. One Shah plays against the other player's full complement of pieces."
"Shatr ikh Padan","Shatr ikh Padan is a game from nineteenth century India that was described by Lala Raja Babu Sahib, Superintendent of the Palace Games Department of Patiala.. It is played  with only the Shah and eight Pawns."
"Shatranj Shir Bakri","Shatranj Shir Bakri is a game from nineteenth century  India that was described by Lala Raja Babu Sahib, Superintendent of the Palace Games Department of Patiala. It was played on a standard 8x8 board with 32 goats and two lions."
Shodra,"Shodra is a game related to others which are derived from Indian Chaturanga played by the Soyot people of eastern Russia. It involves the stipulation that to win, a player must capture all of the opponent's pawns."
Saxun,"Sáxun is a game played by the Aleut peoples in what is now Alaska. Judging from the names of the pieces, it appears that the game was adopted from the Russians. It employs a unique starting position."
Makonn,"Makonn is a four-row mancala-style board game played in the Seychelles. It was described to Alex de Voogt in the 2007, but the game is attested from at least the time of World War I by the presence of game boards in the National Historic Museum from that time."
Nardshir,"Nardshir is a game attested from Persia and Mesopotamia from the middle of the first century CE. It is the ancestor of the game Nard, and may be the ancestor of similar games such as Backgammon."
Shuanglu,"Shuanglu is a race game known from East Asia that is similar to European Backgammon. References to it in Chinese sources date to the first millennium CE."
Chupu,"Chupu is a race game played in China since the Three Kingdoms period, but forgotten at one time. Chinese sources often describe it as coming from the west. Modern scholars sometimes consider the name Chupu as a connection to Indian Chaupar, but this connection has not been truly documented."
Bul,"Bul is a game played in the Maya area by men, and which plays an important role in the Vigil of the Maize ceremony. It is a race game that involves capturing and stacking."
"Los Palos","Los Palos is a capturing game played by the Chinantec people of Oaxaca, Mexico. Played by two teams, two teams move their pieces along a track in an attempt to capture all of the opponent's pieces. "
Petol,"Petol is a race game played in the northern part of the state of Puebla in Mexico. It is thought to be a surviving form of the Aztec game Patolli."
"Kolica Atarakua","Kolica Atárakua is a race game played by the Purépecha people of Michoacán, Mexico. The board is strikingly similar to boards found at Mesoamerican archaeological sites, suggesting that this game is very old."
Chukaray,"Chukaray is a game known among several different indigenous populations in the Gran Chaco region of South America. It is a race game that requires a player to land on every space on the opponent's side of the board before attaining the goal. It is game of pure chance."
"Mapuche Game","This game was played in during the sixteenth century by the Mapuche people of South America, but its name is not given in the sources. It is a race game with captures that is similar to other games from South America which were played in the nineteenth and twentieth centuries."
Chungani,"Chungani was a game played by the Inka. Little is known about it, as it was mentioned by Spanish chroniclers but who did not completely describe it."
Pasa,"Pasa is a dice game that was played in the Andes since at least the eighteenth century. It involves a special seven-sided die, and includes rolls where players may lose points. The highest roll is called "Huayru," which is a word for dice known to be used by the Inka."
Huairu,"Huairu is a race game played in Ecuador during the mid-twentieth century. It utilizes a die that is similar to Inka die, so it is possible that the game is related to much older ones. It appears to be similar to other race games documented in the Andes region."
Taptana,"Taptána was a game played in Peru. Famously, it is said to have been played by the last Inka emperor, Atahualpa, while he was imprisoned. The board is very similar to Spanish Alquerque, and cannot be dated to before the Spanish conquest."
Quechucague,"Quechucague is a game played by the Mapuche people of Chile that has been documented since the seventeenth century. It appears to have been both a race game and a capturing game. "
Komikan,"Komikan is a game played in South America, particularly well-known in Chile. It is first mentioned in a text by J. I. Molina in 1787, describing it as a game of Chess. Subsequent authors have doubted the identification of this game as Chess, and have largely agreed that it is indeed a hunt game popular among the Araucanians from the nineteenth century, also known as "Leoncito." It is a hunt game, played on an Alquerque-type board with a triangular appendage. It may be derived from the game Komina (also Taptana) known from Inka times."
Abalala'e,"Abalala'e is a three-row mancala-style game from the central highlands of Eritrea. It was taught to R. Pankhurst by Abba Pawlos Tzadua, Abba Zacharias, Michael Yaqob, and Gabra Sellasé Gabra Amlak, who were all from towns in that region. It is also known in the eastern lowlands of Eritrea as Gabata."
"Gabata (Aksum)","Gabata is a name that is widely used for different mancala-style games in the northern Horn of Africa. This game, played near Aksum, it is a three-row game."
Selus,"Selus is a three-row mancala-style game played in Ethiopia since at least the nineteenth century. It is considered an aristocratic game, and was played by nobility in the Ethiopian Empire. It involves complex rules, and is said to have taken several hours to play."
"Gabata (Ansaba)","Gabata is a term used for many mancala-style games in the Horn of Africa. This two-row version is played in the Ansaba region of Eritrea, and employs the simultaneous beginning phase that is seen among several games in the region."
Mewelad,"Mewelad is a two-row mancala-style board game played in Eritrea. It involves a unique rule of capturing, where if a player does not capture when they are supposed to, there is a penalty assigned to that hole with alternative capturing rules."
Mewegae,"Mewegae is a two-row mancala-style board game played in Eritrea. It contains a simultaneous opening move that is common in games from Eritrea and Ethiopia."
Bechi,"Béchi is a two-row mancala-style board game played by the Kunama people of Eritrea, particularly by boys and adolescent young men. It involves trickery, in which eliminated holes can be deceptively filled with counters to fool the other player into thinking they can play there."
Andada,"Andada is a two-row mancala-style board game played by the Kunama people of western Eritrea. It is typically played by elders. It has an ending condition that is unusual among mancala-style games, in that the winner is determined by the first to clear their counters from the board once players only have single counters remaining."
"Qelat (Beni Amir-Mensa)","Qelat is a two-row mancala-style board game played by the Beni Amir and Mensa people of Eritrea. This game is typically played by older men, and is played for large stakes. Instead of capturing counters, players create "walda," captured holes in which counters accumulate throughout the game."
"Wa'ache Waledat","Wa'aché Waledat is a two-row mancala-style board game played in Eritrea. It is typically played only by men and boys. It contains some of the rule mechanisms common to other Gabata games of Ethiopia."
"Selus (Massawa)","Selus is a three-row mancala-style board game played in Eritrea. It involves the capture of holes, which acumulate coutners, but players may also capture from these holes when sowing ends in that hole."
Rab'e,"Rab'e is a three-row mancala-style board game played in Eritrea. It is different from other three-row games because captures may happen at any time during the player's move."
"Gabata (Adegrat)","Gabata is a word that applies to many mancala-style games throughout the Horn of Africa. This game is a two-row version played in the Adegrat area of Ethiopia."
"Gabata (Shoa and Adegrat)","Gabata is a name for several mancala-style board games in the Horn of Africa. This is one of the more popular versions, played in central Ethiopia and the Adegrat region of Eritrea."
"Gabata (Wuqro)","Gabata is a term used for several mancala-style board games in the Horn of Africa. This is a two-row version played in the Wuqro area of Ethiopia."
"Gabata (Shoa I)","Gabata is a name applied to many two-or three-row mancala-style board games played in the Horn of Africa. This one is the most commonly played, and has been attested in Ethiopia since the early twentieth century, but is likely to be much older."
"Lahemay Waladat","Lahemay Waladat ("My cow has given birth") is a two-row mancala-style board game played in Mek'ele, Ethiopia.  "
"Lahemay Walida","Lahemay Walida ("My cow has given birth") is a two-row mancala-style board game played in May Chew, Ethiopia."
Hufesay,"Hufesay is a two-row mancala-style board game played in the Maychew area of Ethiopia. "
Tapata,"Tapata is a two-rown mancala-style board game played by the Konso people of Ethiopia. It is typically played in spaces reserved for large assemblies, and is typically played by adult men and, less frequently, by boys and adolescents."
"Lam Waladach","Lam Waladach is a two-row mancala-style board game played in central Ethiopia. It begins with a stylized move."
Lamlameta,"Lamlameta is a two-row mancala-style board game played by the Konso people of Ethiopia. It is played on a larger board than most other games played in Ethiopia, "
Lamosh,"Lamosh is a two-row mancala-style board game played in Ethiopia. It is similar to the many other games played in the area."
"Gabata (Oromo)","Gabata is a term used to refer to several mancala-style games in the Horn of Africa. This version is a two-row game played by an Oromo woman in Addis Ababa."
Jimafesosh,"Jimafesosh is a two-row mancala-style board game played in the Wollo region of Ethiopia."
Tuz,"Tuz is a two-row mancala-style board game played in the Wallo region of Ethiopia. It is a type of Gabata, which is the name for a variety of this type of game played in the region."
Dabuda,"Dabuda is a two-row mancala-style game that is particularly popular among the Afar who live in the Horn of Africa, and described by men from Asaita, Jibuti and Thio."
"Fergen Gobale","Fergen Gobale is a two-row mancala-style board game from Ethiopia. It contains special neutral holes that can be captured in the course of play."
Leyla,"Leyla is a two-row mancala-style game board played near Jigjiga, Ethiopia. It involves the capturing of holes, into which counters accumulate."
"Rio Kadalis","Rio Kadalis is a two-row mancala-style board game played in Ethiopia and Somalia. It shares characteristics of similar games from the Horn of Africa, such as the capture of any holes containing four counters."
"I Pere","I Pere is a two-row mancala-style game board from West Africa. It is similar to other two-row games from the region, and was documented in the early twentieth century."
Nsumbi,"Nsumbi is a four-row mancala-style board game played by the Taabwa people of central Africa. It is one of several games which are likely related, and called "Sombi" by P. Townshend."
"Bao Kiswahili (East Africa)","Bao Kiswahili is a four-row mancala-style game popular throughout East Africa. It is widely known as one of the more complex and difficult-to-master games in the world."
Tablut,"Tablut is a game documented in Lapland during the 18th century. Judging from the form and rules, it is thought to be the latest surviving member of the tafl family. It is also currently the only tafl game to have a fully documented ruleset."
"Bao Ki Arabu (Zanzibar 2)","Bao Ki Arabu is one of two mancala-style games by the same name is played by people in Zanzibar, where it is said to have been the original version that came to the island from Arabia. Indeed, it is quite similar to Hawalis, which has been documented in Oman. "
"Hus (Damara)","||Hus is a four-row mancala-style game played among several groups in Southwest Africa, including the Damara. Hus is a word applied to several different games throughout the region, which were documented in the early twentieth century. "
Isolo,"Isolo is a four-row mancala-style board game played by the Sukuma people in Tanzania. This game is typically played by boys."
Gundru,"Gundru is a capturing game played in Tibet by adults. It employs the custodial capturing mechanism."
Mbelele,"Mbelele is a two-row mancala-style board game played by the Mba people of the Democratic Republic of Congo. It is a unique game in that the board contains single holes that interrupt the usual arrangement of neat rows of holes."
Deka,"Deka is a two-row mancala-style board game played by the Yombe people in the Democratic Republic of Congo. It was documented by P. Townshend."
"Alea Evangelii","Alea Evangelii is a game that was discussed in Corpus Christi College Manuscript 122, dated to the twelfth century CE and probably written at Bangor Abbey, Ireland. The document illustrates the board with pieces on it and provides an ecclesiastical explanation for the board with reference to the Christian Gospels. It seems to be a Christian justification for an earlier game, which appears to have been similar to other known tafl games. Modern scholars have suggested that the author of the manuscript may have made several errors in reconstructing the board and the placement of the pieces."
"Blue Nile","Invented by William Daniel Troyka in 2002, Blue Nile is a modern game played on a hexagonal board."
Brandub,"Brandub is a game from medieval Ireland that is mentioned in several Irish texts. These documents seem to outline an asymmetrical game with a special piece in the center, similar to other tafl games such as Tablut. It is uncertain what the size of the board was, or what form the pieces took."
"Cercar La Liebre","This game is documented in Alfonso X's Libro de los Juegos. It is one of the earliest hunt games that has documented rules, and was played in thirteenth century Spain. "
Dra,"Dra is a game popular in West Africa, particularly in the areas of the Sahel and across several groups including the Touareg, Hausa, Bambara, Bozo, Sourai, and Fula. Typically, one player plays with twelve sticks, the other with twelve stones."
Felli,"Felli is a game with leaping captures from Morocco. It was documented by Moroccan immigrants to France who described the game as they played it in their childhood in Morocco."
O-Pat-Kono,"O-Pat-Kono is a two-player game of alignment played since at least the late nineteenth century in Korea."
"Jeu Militaire","The Jeu Militaire is a game documented since the nineteenth century in France. It was reported by several sources as being played in the French military."
"Go with the Floe","Go with the Floe was invented by Phil Leduc. It is a chase game in which a player has seals pursued by another player's polar bears."
Madelinette,"Madelinette is a game with uncertain history. It is similar to Asian blockade games, but has more pieces and playing spaces."
"Hat Diviyan Keliya","Game played in Sri Lanka during the nineteenth century, but likely to be older. It is a hunt game like others common in South Asia, particularly those known as "tiger games.""
Havannah,"Havannah is a connection game invented by Christian Freeling and played on a hexagonal board."
Jungle,"Jungle is a modern game played in China and Southeast Asia and popular with children. Its origins are not well understood."
Ko-app-paw-na,"Played by the Tiwa Puebloans in the Southwest United States. It is a game, with a similar board and starting position as Cercar la Liebre, but the goal is for the player with the greater number of stones to move to the opposite side of the board instead of blocking the other player from moving."
"Lines of Action","Lines of Action was invented by Claude Soucie in 1969. It is played on an 8x8 board with twelve pieces per player."
Merimueng-rimueng-do,"Merimeueng-rimueng-do is a game from Sumatra that is similar to other hunt games in South and Southeast Asia. It has been played there at least since the beginning of the twentieth century, but is probably older."
"Pon Chochotl","Pon Chocotl is a hunt game played by the Pima people in the southwest United States. It seems to be related to hunt games played by the Spanish."
"Demala Diviyan Keliya","Demala Diviyan Keliya is a hunt game known by many names played throughout South Asia, and documented since the early twentieth century."
Squava,"Squava is a Yavalath variant on a 5x5 board."
Coyote,"Coyote is a game said to have been played in Mexico in the late nineteenth century. It is unknown if it is still played now. It is a hunt game similar to those played around the world, and particularly close to the Spanish game Cercar la Liebre."
Cross,"Cross was invented by Cameron Browne in 2008. It is a connection game on a Hex board."
"Gol Ekuish","Gol Ekuish is a game from India with leaping captures like many others in South Asia and beyond. The board consists of seven concentric circles divided by three diameters."
Grasshopper,"Grasshopper is a Halma variant played with a draughts set and published in 1948."
Groups,"Groups was created by Richard Hutnik in 1998. It is a connection game with the goal of creating an orthogonally connected group of six."
"Pong Hau K'i","Pong Hau K'i is a blocking game documented during the nineteenth century East Asia, but medieval graffiti suggests that it may be even older."
Tawlbwrdd,"Tawlbwrdd is a game in the tafl family mentioned in Peniarth Manuscript 158, describing a portion of the game as played in Wales during the sixteenth century."
Spots,"Spots was created by Cameron Browne for Ludii. It is played on a hexagonal board."
Snowpaque,"Snopaque was creeted from the software AiAi. It is played on a hexagonal board."
Ploy,"Ploy was invented by Frank Thibault in 1970. It can be played by two or four players and the goal is to capture the opponent's Commander."
Picaria,"Picaria is a game played by the people of Isleta Pueblo in New Mexico in the early twentieth century, but likely to be older. This version is played on a smaller board."
"Dai Hasami Shogi","Dai Hasami Shogi is a Hasami Shogi variant played with Go pieces."
"Fox and Geese","Fox and Geese is a game known from medieval Europe with a complicated history. Many different versions are known, and it spread to many places that encountered Europeans and was adopted in various places with local rules. It is still played today, and it was thought that during the medieval and early modern period it was played by poorer classes of people, at least in England. In general, it is a typical hunt game."
"Li'b al-'Aqil","Li'b al-'Aqil ("game of the wise") is a two-row mancala-style board game from Egypt. It allows one player to distribute the counters as they wish, and the opponent to swap the board around if they do not like the result."
Castello,"Invented by Carl Renström in 1971, Castello is a game in which players must capture certain spaces on the board, known as "castles.""
"Press Ups","Press Ups was invented in 1974 by Yigal Bogoslavski."
Kharbaga,"Kharbaga is a game played in North Africa, and is related to similar games played there that are similar to Alquerque. The board is a five by five grid."
Camelot,"Camelot is a Chess variant invented by George Parker in the late nineteenth century and published by Parker Brothers."
Salta,"Salta was invented by Konrad Heinrich Büttgenbach in 1899. It is related to Halma."
Tic-Tac-Four,"Tic-Tac-Four is a Tic-Tac-Toe variant invented by Matthew Stephenson for Ludii."
Ataxx,"Ataxx is an arcade game invented in 1990 by the Leland Corporation and was originally called Infection."
Yovodji,"Yovodji is a game observed in Dahomey during the early twentieth century. It was a game played typically by women, often played during funerals."
Enindji,"Enindji is a two-row mancala-style board game that was documented in Dahomey in the early twentieth century. It is similar to other games in the region like Oware, but has a unique capture where the owner of the hole, rather than the person sowing, captures the counters."
Fondji,"Fondji is a two-row mancala-style board game that was played in Dahomey in the early twentieth century. It is similar to other two-row mancala games from the region, like Oware."
Woli,"Woli is a two-row mancala-style game played in the Senegal Valley of West Africa. It was popular among young married women."
Manddiare,"Manddiaré is a two-row mancala-style board game played in Mauritania but women amd young girls. Sometimes boys would play it to get to know girls, but this would not occur in public spaces."
Foji,"Foji is a two-row mancala-style board game oberved in Dahomey during the early twentieth century. It is similar to other two-row mancala games from West Africa."
"Kapana Bona","Kapana Bona is a two-row mancala-style board game played by the Gourounsi people in West Africa. Instead of being played on a board, the counters are placed in heaps on the ground."
"Oure Ngat","Ouré Ngat is a two-row mancala-style board game played in Senegal during the early twentieth century. It is not typically played on a board; instead, the counters are arranged in heaps on the ground."
Wore,"Wöré was observed in the early twentieth century in St. Louis, Senegal. It was considered a game for women, and in some families it is forbidden for young girls and uncircumcised boys to play it."
Namudilakunze,"Namudilakunze is a four-row mancala-style board game played by the Ba-Ila people of Zambia. It was played there in the early twentieth century."
Mandoli,"Mandoli is a two-row mancala-style game board documented on the island of Hydra in Greece in the early nineteenth century."
"Mawkar Katiya","Mawkar Katiya is a two-row mancala-style board game that was played by the Khasi people of India in the early part of the twentieth century."
"Kanji Guti","Kanji Guti is a two-row mancala-style board game that is played in the Orissa region of India. Is was documented in the early twentieth century."
Motiq,"Motiq is a two-row mancala-style board game played by the Kédang people on the island of Lembata in Indonesia. "
"O An Quan","O An Quan is a two-row mancala-style board game played by children in Vietnam."
Katra,"Katra is a four-row mancala-style game board played in Madagascar. This version was observed being played by the Sakalava people in the early twentieth century."
"Vai Lung Thlan","Vai Lung Thlān is a two-row mancala-style board game played by the Mizo people of India, Bangladesh, and Myanmar."
"Unnee Tugalluulax","Unnee Tugullalax is a two-row mancala-style board game from Mongolia. It is typically played with camel droppings on a board. The game is imbued with the symbolism of the cycle of reproduction of a cow, as a hole fills with counters it progresses along the cycle of reproduction until it has four counters, when the calve is produced and the four counters are captured."
"Bay Khom","Bày Khòm is a two-row mancala-style board game from Cambodia. It was observed in the mid-twentieth century, but it is possible that Khmer texts from the middle ages mention it as "khbal camuon.""
Waurie,"Waurie is a two-row mancala-style board game from the Cayman Islands. This game does not involve captures, and players attempt to empty their row of holes to win."
"Atari Go","Atari Go is a simplified version of Go where the first person to capture a stone wins."
Conspirateurs,"Conspirateurs is a game resembling Halma. R.C. Bell claimed that it was invented around the time of the French Revolution, but this may have been speculation."
"Feed the Ducks","Feed the Ducks was invented in 2011 by Néstor Romeral Andrés.
It is a game played on a hexagonal board where the goal is to group all of a player's pieces together."
HexDame,"HexDame is a Draughts game played on a Hex board invented by Christian Freeling in 1979."
L'attaque,"L'attaque was designed by Hermance Edan in France in 1908, and was an early predecessor of Stratego."
Manalath,"Manalath was invented in 2012 by Dieter Stein and Néstor Romeral Andrés. It is a Yavalath-like game in which the players must create a group of five without first making a group of four."
Odd,"Odd was invented in 2007 by Nick Bentley. It is played on a hexagonal board."
Omega,"Omega was invented by Néstor Romeral Andrés in 2010. It is described as a cross between Hex and Go."
Pentalath,"Pentalath was invented by Cameron Browne in 2009. It is a connection game with the goal of creating a group of five in a row, but with complications."
"Quantum Leap","Quantum Leap was invented in 2013 by Néstor Romeral Andrés. It can be played on a hexagonal grid of any size."
Spline,"Spline was invented in 2011 by Néstor Romeral Andrés. It is a game of alignment in which marbles are stacked on top of one another."
Susan,"Susan was invented by Stephem Linhart in 1991. It is played on a hexagonal board."
Yavalade,"Yavalade was invented in 2012 by Néstor Romeral Andrés. It is a derivative of Yavalath."
Yavalanchor,"Yavanalanchor is a Yavalath derivative invented by Néstor Romeral Andrés in 2012."
Manzhouqi,"Manzhouqi is a game described by Xu Ke, a Qing Dynasty historian, who sayus it was played in Manchuria. It is similar to Xiangqi, and each player plays with different pieces."
"Chess Puzzle","In this Chess Puzzle, you must checkmate the black king with the smallest number of moves possible with the white pieces."
"Shogi Puzzle","Shogi puzzles are known in some of the earliest texts about the game. The are similar to Chess puzzles, where players are given a scenario on the Shogi board to solve."
"Maharajah Chess","Maharajah Chess is a Chess variant known since the nineteenth century."
"Amazon Chess","Amazon Chess is a version of Chess where the queen also has the movement ability of a Chess knight. The queen is known instead as an "amazon.""
"Safe Passage","Safe Passage is a Chess puzzle created by Matthew Stephenson, inspired by the Safe Passage puzzle created by Karen Robinson."
"Horde Chess","Horde Chess is a Chess variant in which one player plays with a standard set of pieces and the other plays with 32 pawns."
"Loop Chess","Loop Chess is a Chess variant that borrows incorporates the reintroduction of captured pieces into Chess."
"Los Alamos Chess","Los Alamos Chess is a Chess variant played on a 6x6 board without bishops. It was the first Chess game played by a computer program at the Los Alamos Scientific Laboratory in 1956."
Minishogi,"Minishogi was invented in 1970 by Shigenobu Kusumoto. It is a Shogi variant with fewer pieces nd played on a 5x5 board."
"Taikyoku Shogi","Taikyoku Shogi is the largest known Shogi variant, with 804 total pieces on the board. It is first documented in Japan in the Shogi Zushiki, which is reportedly from the seventeenth century."
Janggi,"Janggi is played in Korea and is very similar to other games derived from Indian Chaturanga throughout East Asia. It is very popular in Korea, and international tournaments are becoming more popular."
Chameleon,"Invented by Randy Cox and Bill Taylor, Chameleon is a Hex variant"
Gonnect,"Gonnect was invented by João Pedro Neto in 2000. It is played with a Go board and pieces, with the goal of creating a group that connects two opposite sides of the board."
Kaooa,"Kaooa is a hunt game documented in the early twentieth century in India, but it is probably much older, as graffiti with the pattern of the board have been found at sites such as medieval Vijayanagara."
"EinStein Wurfelt Nicht","EinStein Würfelt Nicht! (Einstein does not play dice) is a board game, designed by Ingo Althöfer, a professor of applied mathematics in Jena, Germany. It was the official game of an exhibition about Einstein in Germany during the Einstein Year (2005).

The name of the game in German has a double meaning. It is a play on Einstein's famous quote "I am convinced that He (God) does not play dice" and also refers to the fact that when a player has only one cube (ein Stein) remaining, they no longer need to "play dice", and may simply move the cube."
"Frisian Draughts","Frisian Draughts is a game from the Draughts/Checkers family that was particularly popular in Friesland, in the Netherlands."
"Dice Shogi","Dice Shogi is a recently invented Shogi variant. It is essentially Mini Shogi played with dice determining the players' moves."
Domineering,"Domineering is a mathematical game, typically played on a sheet of paper with a grid, and with dominoes. Players take turns placing dominoes until one can no longer play."
"Hyvn aetter Hare","Hyvn ætter Hare is a blackade game played on Funen Island in Denmark. One player plays as the hare, and the other as three hounds, which attempt to trap the hare. "
"Len Choa","Len Choa is a game that was documented from Thailand in the early nineteenth century. It was incompletely described, but it appears to be similar to hunt games popular in South and Southeast Asia."
"Ho-Bag Gonu","Ho-Bag Gonu is a Korean game with an uncertain history. It is a blockade game, similar to others found throughout Asia."
NoGo,"NoGo is a combinatorial game for two players: Black and White. It's played on the intersections (points) of an initially empty square or rectangular board. Board sizes bigger than 9x9 are not recommended. 6x7 boards have been used in some human matches.

NoGo takes the Go concepts of group and liberty and uses them in the most minimalistic possible way. The resulting game, with no captures, no cycles and no scoring, is no rival for Go, but remains a fertile ground for tactical challenges in the Dots and Boxes style."
Trax,"Trax is a two player abstract strategy game of loops and lines. It can be played on any flat surface (no board). The square tiles have straights on one side and curves on the other."
"Pushing Me XO","Pushing Me XO, a strategic game for brain training while playing to find the ways to connect and creates the line with cubes to win the game in horizontally, vertically or diagonal."
"Symbol S.2","Game created by Ludii team as a test."
Kensington,"Kensington is an abstract strategy board game devised by Brian Taylor and Peter Forbes in 1979, named after London's Kensington Gardens, which contains the mosaic upon which the gameboard is patterned. It is played on a geometrical board based on the rhombitrihexagonal tiling pattern."
Lotus,NULL
"Capture the Queen",NULL
Chex,NULL
"Social Distance Chess","Social Distance Chess was inspired by the COVID-19 pandemic, during which many of the games in Ludii were implemented. It models social distancing principles in a Chess-like game."
"Boseog Gonu","Boseog Gonu is a Korean game of capture of uncertain history."
Triad,"Triad is an abstract board game for three players which features an interesting move mechanic; the players dictate move order as the game progresses. It arose out of discussions with Joao Neto and Bill Taylor in November 2002.

The game is played on a tricoloured hexagonal grid with five cells per side. The three players are called Red, Green and Blue, and each player owns the cells and the pieces that bear their colour."
Block,"One of the most commonly played Dominoes game, Block uses most of the rules shared by other Dominoes games worldwide."
"Three-Player Hex",NULL
Jekab,"Jekab is a Draughts game played in the Marshall Islands. It appears to be a derivative of American Pool Checkers, which is identical except for the promotion of the king."
Ja-Jeon-Geo-Gonu,"Ja-Jeon-Geo-Gonu is a Korean game of uncertain history."
Morra,"Morra is a hand game of uncertain history from the Mediterranean region."
Tic-Tac-Chess,NULL
Portes,"Portes is a game that is closely similar to Backgammon played in the eastern Mediterranean. It is frequently played as part of Tavli, where it is played in succession with Plakoto and Fevga."
Tavli,"Tavli is played in the eastern Mediterranean, particularly Greece and Cyprus, where the games Portes, Plakoto, and Fevga are played in succession."
"Game of Solomon","Small draughts-like game invented by Martin Gardner on an unusual board."
Wagner,"Wagner is a two-player graph theory game based on the Wagner graph, which is a Mobius ladder with 8 vertices. In this graph, the diameter and the radius are both equal to 2.  
"
Icosian,"The Icosian Game was invented in 1857 by William Rowan Hamilton. It is also called the Hamiltonian game (Ball and Coxeter 1987, p. 262), is the problem of finding a Hamiltonian cycle along the edges of a dodecahedron. Hamilton sold this game to a London game dealer in 1859 for 25 pounds, and the game was subsequently marketed in Europe in a number of forms (Gardner 1957). The game marketed two versions of it, under the name Around the World. One version, for the parlor, was played on a flat board; another, for the traveler, consisted of an actual dodecahedron. In both cases, nails at each vertex stood for a major city of the world and the player wrapped a piece of string around these nails as they went. In the event, the game was a complete sales flop, mainly because it was too easy, even for children – but not for Hamilton himself who always used the icosian calculus to figure out his moves, instead of just trying different paths like everyone else!"
"Hamiltonian Maze","A Hamiltonian cycle is a closed loop on a graph, where every node of the graph is visited exactly once. The goal of this puzzle is to colour edges such that the coloured edges form a Hamiltonian cycle."
Sim,"Sim is a pencil-and-paper game played by two players."
MaxMatch,"MaxMatch is a 2-player game. This game is based on the principle of "matching" in graph theory. "
Two-Colour,"Two-Colour is a 2-player graph theory game. It can be played on any graph. 
"
DisPath,"DisPath is a 2-player graph theory game, which can be played on vertices or edges of any graph. The aim of the game is to make more disjoint paths. Every disjoint path needs to be fully disconnected from any other friendly path. The length of the path can be any integer (in this game, we have used k = 3). The motivation comes from the Disjoint path problem in graph theory. "
Clobber,"Clobber is an abstract strategy game invented in 2001 by combinatorial game theorists Michael H. Albert, J.P. Grossman and Richard Nowakowski."
"Phantom Go","Phantom Go is a variant of Go for two players and a referee. The players only see their own stones, but they don't know where the opponent plays. The referee sees the moves of both players and takes care that they only play legal moves."
